0116/05/2018000600041102             5875,377672141       1019,6918/06/2018000       1019,69  0,00          8020106862886         00000000000000                              0                      
0116/05/2018000600041101             5374,437672141        932,7518/06/2018000        932,75  0,00          8020106862886         00000000000000                              0                      
0109/05/2018000600040775             3864,897672141        670,7618/06/2018000        670,76  0,00          8020106862886         00000000000000                              0                      
0109/05/2018000600040774             5875,377672141       1019,6918/06/2018000       1019,69  0,00          8020106862886         00000000000000                              0                      
0109/05/2018000600040772             6886,107672141       1195,1118/06/2018000       1195,11  0,00          8020106862886         00000000000000                              0                      
0102/05/2018000600040358             3434,087672141        596,0018/06/2018000        596,00  0,00          8020106862886         00000000000000                              0                      
0102/05/2018000600040357             8813,067672141       1529,5418/06/2018000       1529,54  0,00          8020106862886         00000000000000                              0                      
0131/05/2018000900051388            17767,647672141       3083,6418/06/2018000       3083,64  0,00          8030708167580         00000000000000                              0                      
0122/05/2018000900050816             5916,427672141       1026,8218/06/2018000       1026,82  0,00          8030708167580         00000000000000                              0                      
0111/05/2018000900050037             3816,347672141        662,3418/06/2018000        662,34  0,00          8030708167580         00000000000000                              0                      
0104/05/2018000900049440             2882,227672141        500,2218/06/2018000        500,22  0,00          8030708167580         00000000000000                              0                      
0104/05/2018000900049418             3085,507672141        535,5018/06/2018000        535,50  0,00          8030708167580         00000000000000                              0                      
0122/05/2018002400003862             6415,137672141       1113,3718/06/2018000       1113,37  0,00          8030707221441         00000000000000                              0                      
0122/05/2018002400003861            45312,567672141       7864,1618/06/2018000       3932,08  0,00          8030707221441         00000000000000                              0                      
0116/05/2018002400003826            18319,407672141       3179,4018/06/2018000       3179,40  0,00          8030707221441         00000000000000                              0                      
0109/05/2018002400003794             3579,187672141        621,1818/06/2018000        621,18  0,00          8030707221441         00000000000000                              0                      
0109/05/2018002400003793            15352,487672141       2664,4818/06/2018000       2664,48  0,00          8030707221441         00000000000000                              0                      
0104/05/2018002400003774            14399,007672141       2499,0018/06/2018000       2499,00  0,00          8030707221441         00000000000000                              0                      
0103/05/2018002400003769             7962,567672141       1381,9318/06/2018000       1381,93  0,00          8030707221441         00000000000000                              0                      
0121/05/2018001000014705            14369,407672141       2493,8618/06/2018000       2493,86  0,00          8030679592668         00000000000000                              0                      
0118/05/2018001000014477            13754,997672141       2387,2318/06/2018000       2387,23  0,00          8030679592668         00000000000000                              0                      
0103/05/2018001000014303            41577,087672141       7215,8718/06/2018000       3607,94  0,00          8030679592668         00000000000000                              0                      
0103/05/2018001000014302            15608,137672141       2708,8618/06/2018000       2708,86  0,00          8030679592668         00000000000000                              0                      
0103/05/2018001000014301             7145,057672141       1240,0618/06/2018000       1240,06  0,00          8030679592668         00000000000000                              0                      
0103/05/2018001000014300             5906,297672141       1025,0618/06/2018000       1025,06  0,00          8030679592668         00000000000000                              0                      
0102/05/2018001000014222             6640,077672141       1152,4118/06/2018000       1152,41  0,00          8030679592668         00000000000000                              0                      
0102/05/2018001000014221             5876,577672141       1019,9018/06/2018000       1019,90  0,00          8030679592668         00000000000000                              0                      
0102/05/2018001000014220             5797,307672141       1006,1518/06/2018000       1006,15  0,00          8030679592668         00000000000000                              0                      
0102/05/2018001000014219             5797,307672141       1006,1518/06/2018000       1006,15  0,00          8030679592668         00000000000000                              0                      
0101/05/2018000100000161           163350,007672141      28350,0018/06/2018000      22680,00  0,00          8030711696403         00000000000000                              0                      
0107/06/2018000300000061            11176,007674991       2376,0018/06/2018010       2376,00  0,00          8020105918306         00000000000000                              0                      
0106/06/2018000300000060            22352,007674991       4752,0018/06/2018010       4752,00  0,00          8020105918306         00000000000000                              0                      
0131/05/2018000300000058            11811,007674991       2511,0018/06/2018010       2511,00  0,00          8020105918306         00000000000000                              0                      
0126/05/2018000300000056            11176,007674991       2376,0018/06/2018010       2376,00  0,00          8020105918306         00000000000000                              0                      
0123/05/2018000300000055             4953,007674991       1053,0018/06/2018010       1053,00  0,00          8020105918306         00000000000000                              0                      
0117/05/2018000300000053            11176,007674991       2376,0018/06/2018010       2376,00  0,00          8020105918306         00000000000000                              0                      
0101/06/2018000300001872            68103,407672141      11819,6018/06/2018000       5909,80  0,00          8030711520488         00000000000000                              0                      
0131/05/2018000300001870            24284,707672141       4214,7018/06/2018000       2107,35  0,00          8030711520488         00000000000000                              0                      
0131/05/2018000300001869            24055,597672141       4174,9318/06/2018000       2087,47  0,00          8030711520488         00000000000000                              0                      
0128/05/2018000300001865             8985,197672141       1559,4118/06/2018000       1559,41  0,00          8030711520488         00000000000000                              0                      
0123/05/2018000300001860             9014,507672141       1564,5018/06/2018000       1564,50  0,00          8030711520488         00000000000000                              0                      
0118/05/2018000300001856            24963,637672141       4332,5318/06/2018000       2166,27  0,00          8030711520488         00000000000000                              0                      
0116/05/2018000300001852            14197,587672141       2464,0418/06/2018000       2464,04  0,00          8030711520488         00000000000000                              0                      
0114/05/2018000300001847            10018,807672141       1738,8018/06/2018000       1738,80  0,00          8030711520488         00000000000000                              0                      
0111/05/2018000300001845            17244,327672141       2992,8218/06/2018000       2992,82  0,00          8030711520488         00000000000000                              0                      
0109/05/2018000300001842            35142,737672141       6099,1518/06/2018000       3049,58  0,00          8030711520488         00000000000000                              0                      
0104/05/2018000300001837            22474,937672141       3900,6118/06/2018000       3900,61  0,00          8030711520488         00000000000000                              0                      
0103/05/2018000300001835            26327,167672141       4569,1818/06/2018000       2284,59  0,00          8030711520488         00000000000000                              0                      
0102/05/2018000300001831            67104,517672141      11646,2318/06/2018000       5823,12  0,00          8030711520488         00000000000000                              0                      
0129/05/2018000300000643           934383,127672141     162165,6618/06/2018000      81082,83  0,00          8030685615300         00000000000000                              0                      
0121/05/2018000300000642            92585,157672141      16068,5018/06/2018000       8034,25  0,00          8030685615300         00000000000000                              0                      
0117/05/2018000300000639           896572,377672141     155603,4718/06/2018000      77801,74  0,00          8030685615300         00000000000000                              0                      
0108/05/2018000300000635           964327,897672141     167362,6918/06/2018000      83681,35  0,00          8030685615300         00000000000000                              0                      
0129/05/2018000200000738          1124340,677672141     195133,5118/06/2018000      97566,76  0,00          8030692619893         00000000000000                              0                      
0121/05/2018000200000733           840344,277672141     145844,8718/06/2018000      72922,44  0,00          8030692619893         00000000000000                              0                      
0113/05/2018000200000728           981706,887672141     170378,8818/06/2018000      85189,44  0,00          8030692619893         00000000000000                              0                      
0107/05/2018000200000723          1131641,137672141     196400,5318/06/2018000      98200,27  0,00          8030692619893         00000000000000                              0                      
0128/05/2018000200000240           670504,567672141     116368,5618/06/2018000      58184,28  0,00          8030655190208         00000000000000                              0                      
0118/05/2018000100000131            39131,407672141       6791,4018/06/2018000       3395,70  0,00          8030715808699         00000000000000                              0                      
0121/05/2018000100000133            42858,207672141       7438,2018/06/2018000       3719,10  0,00          8030715808699         00000000000000                              0                      
0117/05/2018000100000130             2789,787672141        484,1818/06/2018000        484,18  0,00          8030715808699         00000000000000                              0                      
0117/05/2018000100000128            29707,927672141       5155,9218/06/2018000       2577,96  0,00          8030715808699         00000000000000                              0                      
0113/05/2018000100000126            37427,727672141       6495,7218/06/2018000       3247,86  0,00          8030715808699         00000000000000                              0                      
0111/05/2018000100000124            25613,287672141       4445,2818/06/2018000       2222,64  0,00          8030715808699         00000000000000                              0                      
0108/05/2018000100000122            29272,327672141       5080,3218/06/2018000       2540,16  0,00          8030715808699         00000000000000                              0                      
0106/05/2018000100000118            41164,207672141       7144,2018/06/2018000       3572,10  0,00          8030715808699         00000000000000                              0                      
0104/05/2018000100000116            56715,127672141       9843,1218/06/2018000       4921,56  0,00          8030715808699         00000000000000                              0                      
0102/05/2018000100000114            48279,007672141       8379,0018/06/2018000       4189,50  0,00          8030715808699         00000000000000                              0                      
0129/06/2018001700000605           148225,002170781     122500,0029/06/2018010      15817,49  0,00          8030504715392         00000000000000                              0                      
0128/06/2018000300001904           128763,052170781     106415,7528/06/2018010       5945,13  0,00          8030711520488         00000000000000                              0                      
0127/06/2018000300000640           651747,752170781     538634,5027/06/2018010      27598,88  0,00          8033715582339         00000000000000                              0                      
0127/06/2018000400001838           602443,882170781     497887,5027/06/2018010      15583,04  0,00          8030648269257         00000000000000                              0                      
0127/06/2018000400000648           543411,002170781     449100,0027/06/2018010      29675,05  0,00          8033710023099         00000000000000                              0                      
0122/06/2018000300000506           499763,882170781     413028,0022/06/2018010      18412,95  0,00          8030711527504         00000000000000                              0                      
0122/06/2018000400000867           745753,252170781     616325,0022/06/2018010      36172,24  0,00          8033655428319         00000000000000                              0                      
0119/06/2018001900002307           212485,682170781     175608,0019/06/2018010      13848,72  0,00          8030563078347         00000000000000                              0                      
0119/06/2018001700000595           134696,602170781     111319,5019/06/2018010      13367,49  0,00          8030504715392         00000000000000                              0                      
0119/06/2018000400000637           905799,352170781     748594,5019/06/2018010      20693,05  0,00          8033710023099         00000000000000                              0                      
0119/06/2018000400000854           334540,802170781     276480,0019/06/2018010      23845,74  0,00          8033655428319         00000000000000                              0                      
0119/06/2018000400001802           612119,642170781     505884,0019/06/2018010       8117,68  0,00          8030707991417         00000000000000                              0                      
0119/06/2018000300000637           390083,432170781     322383,0019/06/2018010      16826,19  0,00          8033715582339         00000000000000                              0                      
0118/06/2018000300063990            81930,482170781      64512,1918/06/2018010        690,24  0,00          8030707905839         00000000000000                              0                      
0118/06/2018000300000661           498980,042170781     412380,2018/06/2018010       7647,60  0,00          8030506821173         00000000000000                              0                      
0118/06/2018000100000161           163350,002170781     135000,0018/06/2018010       2100,00  0,00          8030711696403         00000000000000                              0                      
0118/06/2018000300000061            72644,002170991      57200,0018/06/2018010        544,00  0,00          8020105918306         00000000000000                              0                      
0118/06/2018000300001872           351917,042170781     290840,5418/06/2018010       3816,81  0,00          8030711520488         00000000000000                              0                      
0118/06/2018000300000643          2887868,532170781    2386668,2118/06/2018010      45733,36  0,00          8030685615300         00000000000000                              0                      
0118/06/2018000200000738          4078032,952170781    3370275,1618/06/2018010      65405,50  0,00          8030692619893         00000000000000                              0                      
0118/06/2018000200000240           670504,562170781     554136,0018/06/2018010       9082,72  0,00          8030655190208         00000000000000                              0                      
0118/06/2018000100000134           357031,802170781     295067,6018/06/2018010       3901,35  0,00          8030715808699         00000000000000                              0                      
