0104/06/2018000500310906            11590,097672141       2011,5004/06/2018000       2011,50  0,00          8030678196165         00000000000000                              0                      
0104/06/2018000500310908            11590,097672141       2011,5004/06/2018000       2011,50  0,00          8030678196165         00000000000000                              0                      
0128/05/2018000400000819           444488,967672141      77142,7104/06/2018000      38571,36  0,00          8033655428319         00000000000000                              0                      
0128/05/2018000400001791           119136,607672141      20676,6004/06/2018000      10338,30  0,00          8030707991417         00000000000000                              0                      
0129/05/2018000300000484           476464,737672141      82692,2304/06/2018000      41346,11  0,00          8030711527504         00000000000000                              0                      
0131/05/2018000300005110             4120,977672141        715,2105/06/2018000        715,21  0,00          8030518151742         00000000000000                              0                      
0122/05/2018000400021337            33192,727672141       5760,7205/06/2018000       2880,36  0,00          8030585827785         00000000000000                              0                      
0131/05/2018000400021416            16929,597672141       2938,1905/06/2018000       2938,19  0,00          8030585827785         00000000000000                              0                      
0104/06/2018000500016447             2470,007672141        428,6805/06/2018000        428,68  0,00          8027109849656         00000000000000                              0                      
0105/06/2018000300000804             5072,327672141        880,3205/06/2018000        880,32  0,00          8030714987697         00000000000000                              0                      
0104/06/2018000400000751             3194,407672141        554,4005/06/2018000        554,40  0,00          8030709370266         00000000000000                              0                      
0105/06/2018000500311231            10360,737672141       1798,1405/06/2018000       1798,14  0,00          8030678196165         00000000000000                              0                      
0105/06/2018000500311233            10360,737672141       1798,1405/06/2018000       1798,14  0,00          8030678196165         00000000000000                              0                      
0105/06/2018000700008134             3011,697672141        522,6905/06/2018000        522,69  0,00          8030683069171         00000000000000                              0                      
0105/06/2018000700008134             3011,697672141        522,6905/06/2018000        522,69  0,00          8030683069171         00000000000000                              0                      
0106/06/2018000400000752             7051,287672141       1223,7806/06/2018000       1223,78  0,00          8030709370266         00000000000000                              0                      
0101/06/2018000400000627           467130,187672141      81072,1806/06/2018000      40536,09  0,00          8033710023099         00000000000000                              0                      
0130/05/2018000400000820             5717,257672141        992,2506/06/2018000        992,25  0,00          8033655428319         00000000000000                              0                      
0101/06/2018000400000822           427008,407672141      74108,9006/06/2018000      37054,45  0,00          8033655428319         00000000000000                              0                      
0106/06/2018000500311585             9131,377672141       1584,7807/06/2018000       1584,78  0,00          8030678196165         00000000000000                              0                      
0106/06/2018000500311586             9131,377672141       1584,7807/06/2018000       1584,78  0,00          8030678196165         00000000000000                              0                      
0107/06/2018000700008251             3005,957672141        521,7007/06/2018000        521,70  0,00          8030683069171         00000000000000                              0                      
0107/06/2018000700008252             3005,957672141        521,7007/06/2018000        521,70  0,00          8030683069171         00000000000000                              0                      
0107/06/2018000700008253             3005,957672141        521,7007/06/2018000        521,70  0,00          8030683069171         00000000000000                              0                      
0107/06/2018000700008254             3005,957672141        521,7007/06/2018000        521,70  0,00          8030683069171         00000000000000                              0                      
0107/06/2018000700008247             3005,957672141        521,7007/06/2018000        521,70  0,00          8030683069171         00000000000000                              0                      
0107/06/2018000700008250             3005,957672141        521,7007/06/2018000        521,70  0,00          8030683069171         00000000000000                              0                      
0110/05/2018000500002151             3804,247672141        660,2408/06/2018000        660,24  0,00          8030602776979         00000000000000                              0                      
0121/05/2018001000003773            15182,277672141       2634,9408/06/2018000       2634,94  0,00          8020135516199         00000000000000                              0                      
0115/05/2018000200000082            11924,557672141       2069,5508/06/2018000       2069,55  0,00          8027204635558         00000000000000                              0                      
0116/05/2018000900007370             2724,807672141        472,9008/06/2018000        472,90  0,00          8030708541687         00000000000000                              0                      
0101/06/2018000900007510             2942,967672141        510,7608/06/2018000        510,76  0,00          8030708541687         00000000000000                              0                      
0116/05/2018000200002766             4416,507672141        766,5008/06/2018000        766,50  0,00          8020056192078         00000000000000                              0                      
0107/06/2018000200011131             9052,317672141       1571,0608/06/2018000       1571,06  0,00          8030715232959         00000000000000                              0                      
0123/05/2018000700003914             6927,987672141       1202,3808/06/2018000       1202,38  0,00          8030709468347         00000000000000                              0                      
0101/06/2018000300002384             4650,017672141        807,0308/06/2018000        807,03  0,00          8020215067948         00000000000000                              0                      
0118/04/2018001600001799            64980,637672141      11277,6308/06/2018000       9022,10  0,00          8030621212687         00000000000000                              0                      
0118/04/2018001600001800            42439,547672141       7365,5408/06/2018000       5892,43  0,00          8030621212687         00000000000000                              0                      
0118/04/2018001600001801             4286,437672141        743,9308/06/2018000        743,93  0,00          8030621212687         00000000000000                              0                      
0130/04/2018001600001810            74300,667672141      12895,1608/06/2018000      10316,12  0,00          8030621212687         00000000000000                              0                      
0130/04/2018001600001811            68928,867672141      11962,8608/06/2018000       9570,29  0,00          8030621212687         00000000000000                              0                      
0130/04/2018001600001812            41558,667672141       7212,6608/06/2018000       5770,13  0,00          8030621212687         00000000000000                              0                      
0130/04/2018001600001813            25553,397672141       4434,8908/06/2018000       3547,91  0,00          8030621212687         00000000000000                              0                      
0108/05/2018001600001830            44095,127672141       7652,8708/06/2018000       6122,30  0,00          8030621212687         00000000000000                              0                      
0115/05/2018000200000054             3388,007672141        588,0011/06/2018000        588,00  0,00          8020177970523         00000000000000                              0                      
0124/05/2018000200000055             3025,007672141        525,0011/06/2018000        525,00  0,00          8020177970523         00000000000000                              0                      
0124/05/2018000200000056            38720,007672141       6720,0011/06/2018000       3360,00  0,00          8020177970523         00000000000000                              0                      
0109/05/2018000300000039             2311,107672141        401,1011/06/2018000        401,10  0,00          8020297584937         00000000000000                              0                      
0122/05/2018000200000237            14701,507672141       2551,5011/06/2018000       2551,50  0,00          8020054626720         00000000000000                              0                      
0104/05/2018000300030451            11576,487672141       2009,1411/06/2018000       2009,14  0,00          8030609339663         00000000000000                              0                      
0124/05/2018000300030937             6089,027672141       1056,7711/06/2018000       1056,77  0,00          8030609339663         00000000000000                              0                      
0129/05/2018000300031008             2959,727672141        513,6711/06/2018000        513,67  0,00          8030609339663         00000000000000                              0                      
0109/05/2018000200000131             2926,997672141        507,9911/06/2018000        507,99  0,00          8020169230855         00000000000000                              0                      
0108/05/2018000300002443             3653,297672141        634,0411/06/2018000        634,04  0,00          8020116112206         00000000000000                              0                      
0130/05/2018000200001015             2386,127672141        414,1211/06/2018000        414,12  0,00          8030711724520         00000000000000                              0                      
0101/06/2018000200001017             4177,897672141        725,0911/06/2018000        725,09  0,00          8030711724520         00000000000000                              0                      
0131/05/2018000300001275             7816,607672141       1356,6011/06/2018000       1356,60  0,00          8020182611345         00000000000000                              0                      
0124/05/2018000200002689             2919,977672141        506,7711/06/2018000        506,77  0,00          8030709736163         00000000000000                              0                      
0130/04/2018000100051241             2800,007672141        485,9511/06/2018000        485,95  0,00          8033709816409         00000000000000                              0                      
0109/05/2018000600005319            12882,437672141       2235,7911/06/2018000       2235,79  0,00          8030707008209         00000000000000                              0                      
0104/06/2018000200004432             2732,007672141        474,1511/06/2018000        474,15  0,00          8030709512494         00000000000000                              0                      
0127/04/2018000200000892            78650,007672141      13650,0011/06/2018000       6825,00  0,00          8030632412424         00000000000000                              0                      
0128/04/2018000200000894            39325,007672141       6825,0011/06/2018000       3412,50  0,00          8030632412424         00000000000000                              0                      
0129/05/2018000500009088            19679,597672141       3415,4711/06/2018000       3415,47  0,00          8030709716057         00000000000000                              0                      
0101/06/2018000200000404            32670,007672141       5670,0011/06/2018000       4536,00  0,00          8027209857001         00000000000000                              0                      
0122/05/2018000200001147             4573,807672141        793,8011/06/2018000        793,80  0,00          8020085680499         00000000000000                              0                      
0128/05/2018000200001164             2649,907672141        459,9011/06/2018000        459,90  0,00          8020085680499         00000000000000                              0                      
